client_id,name,date_of_birth,age,country,email,registration_date,kyc_status,customer_type
1,Client_1,1974-05-07,51,Russia,client1@example.com,2025-06-24,Under Review,Individual
2,Client_2,1954-05-10,71,Nigeria,client2@example.com,2025-02-06,Under Review,Business
3,Client_3,1959-05-23,66,Russia,client3@example.com,2025-05-15,Verified,Corporate
4,Client_4,1978-07-17,47,Australia,client4@example.com,2025-04-13,Verified,Corporate
5,Client_5,1996-03-15,29,Nigeria,client5@example.com,2024-11-11,Verified,Business
6,Client_6,1991-03-15,34,Russia,client6@example.com,2025-07-10,Pending,Corporate
7,Client_7,1964-06-06,61,Nigeria,client7@example.com,2025-10-05,Verified,Individual
8,Client_8,1980-12-10,44,Nigeria,client8@example.com,2024-10-18,Verified,Individual
9,Client_9,1974-12-20,50,Switzerland,client9@example.com,2025-04-12,Verified,Business
10,Client_10,1969-11-01,55,Germany,client10@example.com,2025-01-05,Verified,Business
11,Client_11,1964-05-25,61,Germany,client11@example.com,2025-04-01,Verified,Business
12,Client_12,1964-07-15,61,Switzerland,client12@example.com,2024-10-26,Under Review,Corporate
13,Client_13,1970-04-09,55,Canada,client13@example.com,2025-04-01,Verified,Individual
14,Client_14,1972-03-03,53,UK,client14@example.com,2025-05-11,Pending,Individual
15,Client_15,1994-01-05,31,Canada,client15@example.com,2025-07-12,Verified,Corporate
16,Client_16,1988-08-11,37,USA,client16@example.com,2025-05-06,Verified,Individual
17,Client_17,1984-09-12,41,USA,client17@example.com,2025-08-13,Under Review,Business
18,Client_18,1962-04-13,63,Nigeria,client18@example.com,2025-06-13,Under Review,Business
19,Client_19,1992-12-31,32,Russia,client19@example.com,2025-08-23,Verified,Business
20,Client_20,1980-07-26,45,Russia,client20@example.com,2025-01-09,Under Review,Individual
21,Client_21,1968-02-28,57,Germany,client21@example.com,2025-10-08,Verified,Business
22,Client_22,1993-12-26,31,China,client22@example.com,2025-07-13,Verified,Corporate
23,Client_23,1973-11-27,51,Canada,client23@example.com,2025-04-26,Verified,Corporate
24,Client_24,1975-08-05,50,Australia,client24@example.com,2024-11-30,Verified,Individual
